name,code,description,local_name
Abkhaz,abk,Abkhaz language,"аҧсуа бызшәа, аҧсшәа"
Afar,aar,Afar language,Afaraf
Afrikaans,afr,Afrikaans language,Afrikaans
Akan,aka,Akan language,Akan
Albanian,sqi,Albanian language,Shqip
Amharic,amh,Amharic language,አማርኛ
Arabic,ara,Arabic language,العربية
Aragonese,arg,Aragonese language,aragonés
Armenian,hye,Armenian language,Հայերեն
Assamese,asm,Assamese language,অসমীয়া
Avaric,ava,Avaric language,"авар мацӀ, магӀарул мацӀ"
Avestan,ave,Avestan language,avesta
Aymara,aym,Aymara language,aymar aru
Azerbaijani,aze,Azerbaijani language,azərbaycan dili
Bambara,bam,Bambara language,bamanankan
Bashkir,bak,Bashkir language,башҡорт теле
Basque,eus,Basque language,"euskara, euskera"
Belarusian,bel,Belarusian language,беларуская мова
"Bengali, Bangla",ben,"Bengali, Bangla language",বাংলা
Bihari,bih,Bihari language,भोजपुरी
Bislama,bis,Bislama language,Bislama
Bosnian,bos,Bosnian language,bosanski jezik
Breton,bre,Breton language,brezhoneg
Bulgarian,bul,Bulgarian language,български език
Burmese,mya,Burmese language,ဗမာစာ
Catalan,cat,Catalan language,català
Chamorro,cha,Chamorro language,Chamoru
Chechen,che,Chechen language,нохчийн мотт
"Chichewa, Chewa, Nyanja",nya,"Chichewa, Chewa, Nyanja language","chiCheŵa, chinyanja"
Chinese,zho,Chinese language,"中文 (Zhōngwén), 汉语, 漢語"
Chuvash,chv,Chuvash language,чӑваш чӗлхи
Cornish,cor,Cornish language,Kernewek
Corsican,cos,Corsican language,"corsu, lingua corsa"
Cree,cre,Cree language,ᓀᐦᐃᔭᐍᐏᐣ
Croatian,hrv,Croatian language,hrvatski jezik
Czech,ces,Czech language,"čeština, český jazyk"
Danish,dan,Danish language,dansk
"Divehi, Dhivehi, Maldivian",div,"Divehi, Dhivehi, Maldivian language",ދިވެހި
Dutch,nld,Dutch language,"Nederlands, Vlaams"
Dzongkha,dzo,Dzongkha language,རྫོང་ཁ
English,eng,English language,English
Esperanto,epo,Esperanto language,Esperanto
Estonian,est,Estonian language,"eesti, eesti keel"
Ewe,ewe,Ewe language,Eʋegbe
Faroese,fao,Faroese language,føroyskt
Fijian,fij,Fijian language,vosa Vakaviti
Finnish,fin,Finnish language,"suomi, suomen kieli"
French,fra,French language,"français, langue française"
"Fula, Fulah, Pulaar, Pular",ful,"Fula, Fulah, Pulaar, Pular language","Fulfulde, Pulaar, Pular"
Galician,glg,Galician language,galego
Georgian,kat,Georgian language,ქართული
German,deu,German language,Deutsch
Greek (modern),ell,Greek (modern) language,ελληνικά
Guaraní,grn,Guaraní language,Avañe'ẽ
Gujarati,guj,Gujarati language,ગુજરાતી
"Haitian, Haitian Creole",hat,"Haitian, Haitian Creole language",Kreyòl ayisyen
Hausa,hau,Hausa language,(Hausa) هَوُسَ
Hebrew (modern),heb,Hebrew (modern) language,עברית
Herero,her,Herero language,Otjiherero
Hindi,hin,Hindi language,"हिन्दी, हिंदी"
Hiri Motu,hmo,Hiri Motu language,Hiri Motu
Hungarian,hun,Hungarian language,magyar
Interlingua,ina,Interlingua language,Interlingua
Indonesian,ind,Indonesian language,Bahasa Indonesia
Interlingue,ile,Interlingue language,Originally called Occidental; then Interlingue after WWII
Irish,gle,Irish language,Gaeilge
Igbo,ibo,Igbo language,Asụsụ Igbo
Inupiaq,ipk,Inupiaq language,"Iñupiaq, Iñupiatun"
Ido,ido,Ido language,Ido
Icelandic,isl,Icelandic language,Íslenska
Italian,ita,Italian language,Italiano
Inuktitut,iku,Inuktitut language,ᐃᓄᒃᑎᑐᑦ
Japanese,jpn,Japanese language,日本語 (にほんご)
Javanese,jav,Javanese language,"ꦧꦱꦗꦮ, Basa Jawa"
"Kalaallisut, Greenlandic",kal,"Kalaallisut, Greenlandic language","kalaallisut, kalaallit oqaasii"
Kannada,kan,Kannada language,ಕನ್ನಡ
Kanuri,kau,Kanuri language,Kanuri
Kashmiri,kas,Kashmiri language,"कश्मीरी, كشميري‎"
Kazakh,kaz,Kazakh language,қазақ тілі
Khmer,khm,Khmer language,"ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ"
"Kikuyu, Gikuyu",kik,"Kikuyu, Gikuyu language",Gĩkũyũ
Kinyarwanda,kin,Kinyarwanda language,Ikinyarwanda
Kyrgyz,kir,Kyrgyz language,"Кыргызча, Кыргыз тили"
Komi,kom,Komi language,коми кыв
Kongo,kon,Kongo language,Kikongo
Korean,kor,Korean language,한국어
Kurdish,kur,Kurdish language,"Kurdî, كوردی‎"
"Kwanyama, Kuanyama",kua,"Kwanyama, Kuanyama language",Kuanyama
Latin,lat,Latin language,"latine, lingua latina"
"Luxembourgish, Letzeburgesch",ltz,"Luxembourgish, Letzeburgesch language",Lëtzebuergesch
Ganda,lug,Ganda language,Luganda
"Limburgish, Limburgan, Limburger",lim,"Limburgish, Limburgan, Limburger language",Limburgs
Lingala,lin,Lingala language,Lingála
Lao,lao,Lao language,ພາສາລາວ
Lithuanian,lit,Lithuanian language,lietuvių kalba
Luba-Katanga,lub,Luba-Katanga language,Tshiluba
Latvian,lav,Latvian language,latviešu valoda
Manx,glv,Manx language,"Gaelg, Gailck"
Macedonian,mkd,Macedonian language,македонски јазик
Malagasy,mlg,Malagasy language,fiteny malagasy
